,R1_RDT_Total_Feed,R1_RDT_PAR_FEED,R1_RDT_T_ARO,R1_RDT_T_PAR,R2_RDT_T_ARO,R2_RDT_T_PAR,R2_RDT_Total_Feed,R2_RDT_PAR_FEED,R3_RDT_Total_Feed,R3_RDT_T_ARO,R3_RDT_PAR_FEED,R3_RDT_T_PAR,R4_RDT_T_ARO,R4_RDT_Total_Feed,R4_RDT_T_PAR,R4_RDT_PAR_FEED,R1_RIT_mean,R2_RIT_mean,R3_RIT_mean,R4_RIT_mean,R1_RIT_max,R2_RIT_max,R3_RIT_max,R4_RIT_max,Re_Gas_H2_purity,C_1_DISCH,Re_Gas_MOLAR_RATIO,Re_Gas_Flow,C_1_SUCTION,R1_New_Wait,R2_New_Wait,R3_New_Wait,R4_New_Wait,max_2nd.Burning.Zone,max_2nd.1dan,max_2nd.2dan,max_2nd.3dan,max_2nd.4dan,max_2nd.5dan,Catalyst Circulation Rate,Catalyst Circulation LIFT VELOCITY E,Catalyst_V3_front_coke Content,Catalyst_V3_back_coke Content,V-3 1ST BURN ZON E-1 INLET O2 CCT,V-3 1ST BURN ZON E-1 INLET GAS,V-3 1ST BURN ZON H-1 OUTLET,Burning Gas C-2 OUT TO V-3,ATMOSPHERE Burning Gas TEMP,H-4 INLET TEMPERATURE (R-4 RIT),H-3 OUT R-3 IN (R-3 RIT),H-2 OUT R-2 IN (R-2 RIT),H-1 OUT R-1 IN (R-1 RIT),R-4 OUT E-1 IN (R-4 ROT),R-3 OUT H-4 IN (R-3 ROT),R-2 OUT H-3 IN (R-2 ROT),R-1 OUT H-2 IN (R-1 ROT),Burning Gas concentration
R1_RDT_Total_Feed,1.0,0.083,0.799,0.096,0.663,-0.09,0.707,-0.086,0.673,0.47,-0.396,-0.387,-0.048,0.172,-0.488,-0.495,0.165,0.131,0.255,0.222,0.237,0.131,0.301,0.319,-0.044,0.415,-0.369,-0.244,0.118,0.24,0.245,0.24,0.227,0.219,0.203,0.19,0.197,0.223,0.219,0.155,-0.115,0.214,0.018,-0.085,0.262,-0.526,0.25,0.22,0.244,0.258,0.138,0.163,0.301,0.072,-0.389,-0.707,-0.272
R1_RDT_PAR_FEED,0.083,1.0,0.145,0.631,0.378,0.635,0.29,0.652,0.212,0.253,0.566,0.431,0.086,0.098,0.244,0.329,0.412,0.605,0.399,0.289,0.415,0.584,0.39,0.128,0.182,0.168,0.069,0.037,0.054,0.462,0.455,0.441,0.422,-0.106,-0.306,-0.313,-0.355,-0.365,-0.106,0.068,-0.163,0.012,0.032,-0.368,0.181,-0.08,0.079,-0.321,0.282,0.401,0.598,0.411,0.284,0.374,0.396,0.275,0.117
R1_RDT_T_ARO,0.799,0.145,1.0,0.321,0.633,-0.187,0.356,-0.254,0.374,0.65,-0.373,-0.257,0.178,0.054,-0.293,-0.375,0.33,0.059,0.285,0.307,0.38,0.03,0.307,0.434,0.19,0.035,-0.017,-0.17,0.208,0.291,0.297,0.293,0.286,-0.058,-0.106,-0.093,-0.081,-0.07,-0.058,0.016,0.001,-0.08,0.097,-0.144,-0.139,-0.023,-0.05,-0.013,0.312,0.276,0.06,0.327,0.287,0.041,-0.339,-0.713,-0.328
R1_RDT_T_PAR,0.096,0.631,0.321,1.0,0.121,0.341,-0.062,0.088,0.157,0.402,0.279,0.481,0.278,0.103,0.232,0.113,0.615,0.33,0.514,0.543,0.632,0.289,0.515,0.44,0.489,-0.02,0.235,-0.094,0.371,0.566,0.566,0.559,0.552,-0.202,-0.405,-0.4,-0.433,-0.463,-0.202,-0.007,-0.076,-0.26,0.051,-0.305,-0.198,0.218,-0.051,-0.406,0.514,0.499,0.319,0.605,0.413,0.379,0.355,0.209,-0.053
R2_RDT_T_ARO,0.663,0.378,0.633,0.121,1.0,0.453,0.843,0.481,0.557,0.558,-0.022,-0.146,0.085,0.184,-0.222,-0.159,0.001,0.485,0.255,0.173,0.101,0.536,0.328,0.212,-0.077,0.333,-0.279,-0.138,-0.02,0.251,0.248,0.246,0.232,-0.005,0.016,0.002,-0.021,-0.007,-0.005,0.157,-0.123,0.122,0.043,-0.221,0.272,-0.444,0.106,0.092,0.163,0.268,0.485,0.013,0.234,0.085,-0.234,-0.518,0.007
R2_RDT_T_PAR,-0.09,0.635,-0.187,0.341,0.453,1.0,0.461,0.909,0.272,0.096,0.645,0.516,0.024,0.197,0.298,0.377,0.007,0.67,0.284,0.192,0.07,0.734,0.343,0.023,-0.046,0.309,-0.137,0.029,-0.096,0.307,0.307,0.298,0.285,-0.011,-0.086,-0.111,-0.166,-0.183,-0.011,0.123,-0.174,0.062,0.019,-0.285,0.346,-0.314,0.176,-0.131,0.156,0.298,0.664,0.013,0.226,0.305,0.391,0.374,0.351
R2_RDT_Total_Feed,0.707,0.29,0.356,-0.062,0.843,0.461,1.0,0.554,0.717,0.287,-0.024,-0.223,-0.14,0.252,-0.342,-0.224,-0.158,0.476,0.183,0.069,-0.056,0.544,0.266,0.072,-0.28,0.601,-0.547,-0.183,-0.108,0.161,0.157,0.155,0.141,0.222,0.283,0.25,0.227,0.247,0.222,0.25,-0.204,0.354,-0.028,-0.137,0.577,-0.797,0.354,0.28,0.076,0.204,0.483,-0.149,0.214,0.108,-0.22,-0.413,0.059
R2_RDT_PAR_FEED,-0.086,0.652,-0.254,0.088,0.481,0.909,0.554,1.0,0.255,-0.003,0.641,0.352,-0.083,0.158,0.215,0.393,-0.127,0.664,0.153,0.001,-0.084,0.728,0.195,-0.158,-0.205,0.345,-0.214,0.073,-0.236,0.175,0.165,0.153,0.137,0.03,0.001,-0.026,-0.074,-0.078,0.03,0.143,-0.188,0.203,-0.01,-0.243,0.483,-0.421,0.201,-0.045,-0.017,0.176,0.66,-0.115,0.091,0.226,0.315,0.328,0.367
R3_RDT_Total_Feed,0.673,0.212,0.374,0.157,0.557,0.272,0.717,0.255,1.0,0.633,0.182,0.134,0.225,0.62,-0.025,0.004,0.022,0.294,0.423,0.415,0.095,0.34,0.481,0.464,-0.074,0.618,-0.432,-0.194,0.114,0.36,0.36,0.36,0.366,0.134,0.086,0.063,0.054,0.063,0.134,0.263,-0.237,0.056,-0.162,-0.171,0.297,-0.562,0.21,0.096,0.406,0.422,0.302,0.024,0.343,0.128,-0.136,-0.301,-0.055
R3_RDT_T_ARO,0.47,0.253,0.65,0.402,0.558,0.096,0.287,-0.003,0.633,1.0,0.18,0.278,0.597,0.459,0.19,0.123,0.288,0.204,0.474,0.53,0.335,0.214,0.499,0.631,0.283,0.113,0.06,-0.107,0.285,0.447,0.446,0.447,0.456,-0.229,-0.353,-0.346,-0.352,-0.353,-0.229,0.087,-0.09,-0.334,-0.076,-0.253,-0.236,0.077,-0.224,-0.222,0.51,0.456,0.204,0.288,0.29,0.054,-0.123,-0.358,-0.129
